Hexa,Cube,N,E,Name
24400B5A00601,0.0.1.2.0.1.2.3.3.0.4.4.0.4.4.0.4.4.6.5.5.6.0.0.0.7.7,162,244,
104400B5A00411,0.1.1.2.0.0.2.3.3.0.4.4.0.4.4.0.4.4.0.5.5.6.0.0.6.7.7,324,512,
104400B5A00601,0.1.1.2.0.0.2.3.3.0.4.4.0.4.4.0.4.4.6.5.5.6.0.0.0.7.7,268,416,
18000B40005AD,0.0.0.1.1.1.0.0.0.0.2.2.0.2.2.0.0.0.0.3.3.0.3.3.0.3.3,8,18,
8000B42005AD,0.0.0.0.1.1.0.0.0.0.2.2.0.2.2.0.3.3.0.4.4.0.4.4.0.4.4,48,97,
F42005AD,0.0.0.0.0.0.0.0.0.2.1.1.2.1.1.0.3.3.0.4.4.0.4.4.0.4.4,36,62,
8030842005AD,0.0.0.0.1.1.0.0.0.0.2.2.0.1.1.0.3.3.0.4.4.0.4.4.0.4.4,42,64,
8030860005AD,0.0.0.0.1.1.0.0.0.0.2.2.3.1.1.3.0.0.0.4.4.0.4.4.0.4.4,36,53,
100180842D8421,0.1.1.0.0.0.0.0.0.0.1.1.0.2.2.0.3.3.0.1.1.0.2.2.0.4.4,184,380,
100000B42005AD,0.1.1.0.0.0.0.0.0.0.2.2.0.2.2.0.3.3.0.4.4.0.4.4.0.4.4,157,297,
10018085AC0421,0.1.1.0.0.0.0.0.0.0.1.1.0.2.2.0.2.2.0.1.1.0.3.3.0.4.4,149,224,
10018085AE0401,0.1.1.0.0.0.0.0.0.0.1.1.3.2.2.0.2.2.0.1.1.3.0.0.0.4.4,142,206,
100180840D8423,0.1.1.0.0.0.0.0.0.0.1.1.0.2.2.0.0.0.0.1.1.0.2.2.3.3.3,24,50,
100400B40005AD,0.1.1.0.0.0.0.2.2.0.3.3.0.3.3.0.0.0.0.4.4.0.4.4.0.4.4,298,564,
10058085AC0401,0.1.1.0.0.0.0.2.2.0.1.1.0.3.3.0.3.3.0.1.1.0.0.0.0.4.4,271,402,
1001808C6005AD,0.1.1.0.0.0.0.0.0.0.1.1.2.2.2.3.3.3.0.4.4.0.4.4.0.4.4,12,18,
1001808C6C042D,0.1.1.0.0.0.0.0.0.0.1.1.2.2.2.3.3.3.0.1.1.0.4.4.0.4.4,12,18,
1001808C2C3461,0.1.1.0.0.0.0.0.0.0.1.1.2.2.2.0.3.3.0.1.1.4.4.4.0.3.3,18,38,
828C047F,0.0.0.0.0.0.0.0.0.0.1.1.2.0.3.2.0.3.0.1.1.4.4.4.4.4.4,60,86,
100190802005AD,0.1.1.0.0.2.0.0.0.0.1.1.0.0.2.0.3.3.0.4.4.0.4.4.0.4.4,67,97,
100190802C042D,0.1.1.0.0.2.0.0.0.0.1.1.0.0.2.0.3.3.0.1.1.0.4.4.0.4.4,62,90,
108180802005AD,0.1.1.0.2.2.0.0.0.0.1.1.0.0.0.0.3.3.0.4.4.0.4.4.0.4.4,88,134,
B400808005AD,0.0.0.0.1.1.0.1.1.0.2.2.0.0.3.0.0.3.0.4.4.0.4.4.0.4.4,86,162,
108180802C3421,0.1.1.0.2.2.0.0.0.0.1.1.0.0.0.0.3.3.0.1.1.0.4.4.0.3.3,112,216,
100580808C042D,0.1.1.0.0.0.0.2.2.0.1.1.0.0.3.0.0.3.0.1.1.0.4.4.0.4.4,243,350,
100580802005AD,0.1.1.0.0.0.0.2.2.0.1.1.0.0.0.0.3.3.0.4.4.0.4.4.0.4.4,306,452,
100580802C042D,0.1.1.0.0.0.0.2.2.0.1.1.0.0.0.0.3.3.0.1.1.0.4.4.0.4.4,296,438,
100580802C3421,0.1.1.0.0.0.0.2.2.0.1.1.0.0.0.0.3.3.0.1.1.0.4.4.0.3.3,398,734,
100580800C043D,0.1.1.0.0.0.0.2.2.0.1.1.0.0.0.0.0.0.0.1.1.4.3.3.4.3.3,424,612,
100580802C7401,0.1.1.0.0.0.0.2.2.0.1.1.0.0.0.4.3.3.0.1.1.0.0.0.4.3.3,616,1008,
184018C2005AD,0.0.0.1.1.1.0.2.2.3.3.3.4.4.4.0.5.5.0.6.6.0.6.6.0.6.6,84,156,
1080018C6005AD,0.1.1.0.2.2.0.0.0.3.3.3.4.4.4.5.5.5.0.6.6.0.6.6.0.6.6,84,168,
18C600C7F,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.3.3.3.4.4.4.5.5.5.5.5.5,26,52,
18C7C0C63,0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.3.3.3.1.1.1.4.4.4.5.5.5,29,59,
1000018C600FE1,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.4.4.4.5.5.5.5.5.5.0.6.6,52,104,
1004018C6005AD,0.1.1.0.0.0.0.2.2.3.3.3.4.4.4.5.5.5.0.6.6.0.6.6.0.6.6,86,172,
58C1C7C60,0.0.0.0.0.0.0.1.0.2.2.2.3.3.3.4.1.5.2.2.2.6.6.6.4.1.5,89,164,
1000018C7C0C61,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.4.4.4.2.2.2.5.5.5.0.6.6,49,88,
108180846E0421,0.1.1.0.2.2.0.0.0.0.1.1.5.3.3.4.4.4.0.1.1.5.6.6.0.7.7,174,312,
100190806C0423,0.1.1.0.0.2.0.0.0.0.1.1.0.0.2.3.3.3.0.1.1.0.4.4.5.5.5,112,210,
18000802007BD,0.0.0.1.1.1.0.0.0.0.2.2.0.0.0.0.3.3.5.4.4.5.4.4.5.4.4,180,330,
1081808C2C0463,0.1.1.0.2.2.0.0.0.0.1.1.3.3.3.0.4.4.0.1.1.5.5.5.6.6.6,188,360,
100396800C2420,2.1.1.0.0.3.0.4.5.2.1.1.0.0.3.0.4.5.0.1.1.0.6.6.0.4.0,154,268,
100590806C0421,0.1.1.0.0.3.0.2.2.0.1.1.0.0.3.4.4.4.0.1.1.0.5.5.0.6.6,348,592,
108001807C0C21,0.1.1.0.2.2.0.0.0.3.3.3.0.0.0.4.4.4.3.3.3.0.5.5.0.6.6,356,580,
108580806C0421,0.1.1.0.2.2.0.3.3.0.1.1.0.0.0.4.4.4.0.1.1.0.5.5.0.6.6,668,1108,
20018C1C7C60,0.0.0.0.1.0.0.1.0.2.2.2.3.3.3.4.5.6.2.2.2.7.7.7.4.5.6,638,1152,
2100018C5C0C62,1.1.0.2.2.0.0.0.0.3.3.3.4.4.4.5.5.0.3.3.3.6.6.6.7.7.0,354,644,
1004018C200FE1,0.1.1.0.0.0.0.2.2.3.3.3.4.4.4.0.5.5.6.6.6.6.6.6.0.7.7,326,568,
1800018C200FE1,2.1.1.2.0.0.0.0.0.3.3.3.4.4.4.0.5.5.6.6.6.6.6.6.0.7.7,113,204,
1184008000047F,0.1.1.2.2.2.0.3.3.0.4.4.0.0.0.0.0.0.0.5.5.6.6.6.6.6.6,382,576,
184080C20047F,0.0.0.1.1.1.3.2.2.0.0.0.4.4.4.3.5.5.0.6.6.7.7.7.7.7.7,83,116,
1000018C3C4C61,0.1.1.0.0.0.0.0.0.2.2.2.3.3.3.5.4.4.2.2.2.6.6.6.5.7.7,98,160,
1004018C3C0C61,0.1.1.0.0.0.0.2.2.3.3.3.4.4.4.0.5.5.3.3.3.6.6.6.0.7.7,326,556,
50018C000C7F,0.0.0.1.0.2.1.0.2.3.3.3.4.4.4.0.0.0.5.5.5.6.6.6.6.6.6,94,180,
100780807C0401,3.1.1.0.0.0.0.2.2.3.1.1.0.0.0.4.4.4.3.1.1.0.0.0.0.5.5,128,224,
50018C1C5C60,0.0.0.1.0.2.1.0.2.3.3.3.4.4.4.5.0.6.3.3.3.7.7.7.5.0.6,70,124,
470000C14007F,0.1.0.2.1.3.2.1.3.5.0.6.4.4.4.0.0.0.5.0.6.7.7.7.7.7.7,58,84,
108180842E0423,0.1.1.0.2.2.0.0.0.0.1.1.5.3.3.0.4.4.0.1.1.5.6.6.7.7.7,400,736,
1F6000005AD,0.1.2.3.4.5.0.6.7.0.1.2.3.4.5.0.6.7.0.8.8.0.8.8.0.8.8,4016,5512,
108400842205AD,0.1.1.0.2.2.0.3.3.0.4.4.7.5.5.0.6.6.0.8.8.7.8.8.0.8.8,4762,7656,
50008280047F,0.0.0.1.0.2.1.0.2.0.3.3.4.0.5.4.0.5.0.6.6.7.7.7.7.7.7,5326,7968,
1084008080047F,0.1.1.0.2.2.0.3.3.0.4.4.0.0.5.0.0.5.0.6.6.7.7.7.7.7.7,5484,8336,
108400802005BD,0.1.1.0.2.2.0.3.3.0.4.4.0.0.0.0.5.5.0.6.6.7.6.6.7.6.6,6884,10696,
10040080800C7F,0.1.1.0.0.0.0.2.2.0.3.3.0.0.4.0.0.4.5.5.5.6.6.6.6.6.6,306,568,
100400802007BD,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.4.4.6.5.5.6.5.5.6.5.5,440,816,
100780803C0421,3.1.1.0.0.0.0.2.2.3.1.1.0.0.0.0.4.4.3.1.1.0.5.5.0.6.6,464,832,
1050008080047F,0.1.1.2.0.3.2.0.3.0.4.4.0.0.5.0.0.5.0.6.6.7.7.7.7.7.7,2914,4220,
50000294007F,0.0.0.1.0.2.1.0.2.5.0.6.3.0.4.3.0.4.5.0.6.7.7.7.7.7.7,3442,5052,
212DA10800421,2.0.1.3.0.1.4.0.1.2.0.1.3.0.1.4.0.1.0.5.5.0.6.6.0.7.7,3545,5044,
2018010004087F,1.1.0.0.0.2.3.3.2.4.4.5.0.0.0.0.0.0.6.6.5.7.7.7.7.7.7,848,1136,
8000842DB421,0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.0.4.4.0.2.2.0.3.3.0.4.4,48,104,
800085AC042D,0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.0.3.3.0.2.2.0.4.4.0.4.4,40,71,
87AC042D,0.0.0.0.0.0.0.0.0.0.1.1.3.2.2.3.2.2.0.1.1.0.4.4.0.4.4,34,59,
1021A48180002D,0.1.1.0.2.0.0.2.0.0.1.1.0.2.3.0.2.3.0.0.0.0.4.4.0.4.4,34,58,
4000842DB421,0.0.0.1.0.0.1.0.0.0.2.2.0.3.3.0.4.4.0.2.2.0.3.3.0.4.4,184,400,
10000085AC042D,0.1.1.0.0.0.0.0.0.0.2.2.0.3.3.0.3.3.0.2.2.0.4.4.0.4.4,143,245,
1021A48100042D,0.1.1.0.2.0.0.2.0.0.1.1.0.2.0.0.2.0.0.3.3.0.4.4.0.4.4,136,226,
18000842F8421,0.0.0.1.1.1.0.0.0.0.2.2.5.3.3.0.4.4.0.2.2.5.3.3.0.6.6,391,694,
18000F42005A1,0.0.0.1.1.1.0.0.0.3.2.2.3.2.2.0.4.4.0.5.5.0.5.5.0.6.6,434,800,
8000C7AC0421,0.0.0.0.1.1.0.0.0.3.2.2.3.4.4.3.4.4.0.2.2.0.5.5.0.6.6,308,456,
1800085AE0421,0.0.0.1.1.1.0.0.0.0.2.2.4.3.3.0.3.3.0.2.2.4.5.5.0.6.6,330,496,
800185A00C2D,0.0.0.0.1.1.0.0.0.2.2.2.0.3.3.0.3.3.4.4.4.0.5.5.0.5.5,104,206,
187A00C2D,0.0.0.0.0.0.0.0.0.1.1.1.3.2.2.3.2.2.4.4.4.0.5.5.0.5.5,66,111,
8000846D8423,0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.4.4.4.0.2.2.0.3.3.5.5.5,104,197,
803184200C2D,0.0.0.0.1.1.0.0.0.2.2.2.0.1.1.0.3.3.4.4.4.0.5.5.0.5.5,84,122,
8030C60005A3,0.0.0.0.1.1.0.0.0.3.2.2.3.1.1.3.0.0.0.4.4.0.4.4.5.5.5,56,78,
87AC0463,0.0.0.0.0.0.0.0.0.0.1.1.3.2.2.3.2.2.0.1.1.4.4.4.5.5.5,58,82,
108000B46005A1,0.1.1.0.2.2.0.0.0.0.3.3.0.3.3.4.4.4.0.5.5.0.5.5.0.6.6,888,1720,
100000F62005A1,0.1.1.0.0.0.0.0.0.3.2.2.3.2.2.3.4.4.0.5.5.0.5.5.0.6.6,617,1066,
108000846D8421,0.1.1.0.2.2.0.0.0.0.3.3.0.4.4.5.5.5.0.3.3.0.4.4.0.6.6,859,1562,
84318420042D,0.0.0.0.1.1.0.2.2.3.3.3.0.1.1.0.4.4.0.5.5.0.6.6.0.6.6,710,1064,
100000C7AC0421,0.1.1.0.0.0.0.0.0.3.2.2.3.4.4.3.4.4.0.2.2.0.5.5.0.6.6,527,772,
10000087AC0461,0.1.1.0.0.0.0.0.0.0.2.2.4.3.3.4.3.3.0.2.2.5.5.5.0.6.6,538,794,
100000846D8423,0.1.1.0.0.0.0.0.0.0.2.2.0.3.3.4.4.4.0.2.2.0.3.3.5.5.5,316,590,
100000B46005A3,0.1.1.0.0.0.0.0.0.0.2.2.0.2.2.3.3.3.0.4.4.0.4.4.5.5.5,294,561,
10018085A00C61,0.1.1.0.0.0.0.0.0.0.1.1.0.2.2.0.2.2.3.3.3.4.4.4.0.5.5,238,340,
100180C7A00403,0.1.1.0.0.0.0.0.0.2.1.1.2.3.3.2.3.3.0.4.4.0.0.0.5.5.5,96,134,
100180C7A00C01,0.1.1.0.0.0.0.0.0.2.1.1.2.3.3.2.3.3.4.4.4.0.0.0.0.5.5,46,63,
100400846D8421,0.1.1.0.0.0.0.2.2.0.3.3.0.4.4.5.5.5.0.3.3.0.4.4.0.6.6,842,1420,
100400B46005A1,0.1.1.0.0.0.0.2.2.0.3.3.0.3.3.4.4.4.0.5.5.0.5.5.0.6.6,788,1480,
10040085AC0461,0.1.1.0.0.0.0.2.2.0.3.3.0.4.4.0.4.4.0.3.3.5.5.5.0.6.6,640,944,
100400C7AC0401,0.1.1.0.0.0.0.2.2.4.3.3.4.5.5.4.5.5.0.3.3.0.0.0.0.6.6,554,804,
8000842F8423,0.0.0.0.1.1.0.0.0.0.2.2.5.3.3.0.4.4.0.2.2.5.3.3.6.6.6,648,1116,
803086200C2D,0.0.0.0.1.1.0.0.0.0.2.2.3.1.1.3.4.4.5.5.5.0.6.6.0.6.6,560,808,
108000842F8421,0.1.1.0.2.2.0.0.0.0.3.3.6.4.4.0.5.5.0.3.3.6.4.4.0.7.7,5764,10260,
10800085AE0421,0.1.1.0.2.2.0.0.0.0.3.3.5.4.4.0.4.4.0.3.3.5.6.6.0.7.7,5024,7844,
108000842D8423,0.1.1.0.2.2.0.0.0.0.3.3.0.4.4.0.5.5.0.3.3.0.4.4.6.6.6,2255,4038,
108000840F8423,0.1.1.0.2.2.0.0.0.0.3.3.5.4.4.0.0.0.0.3.3.5.4.4.6.6.6,1864,3116,
10803084200C2D,0.1.1.0.2.2.0.0.0.0.3.3.0.2.2.0.4.4.5.5.5.0.6.6.0.6.6,1960,2808,
108030C40005A3,0.1.1.0.2.2.0.0.0.4.3.3.4.2.2.0.0.0.0.5.5.0.5.5.6.6.6,1626,2316,
108400842D8421,0.1.1.0.2.2.0.3.3.0.4.4.0.5.5.0.6.6.0.4.4.0.5.5.0.7.7,6146,10815,
87B0043D,0.0.0.0.0.0.0.0.0.4.1.1.3.2.2.3.2.2.4.5.5.7.6.6.7.6.6,5514,9506,
10840085AC0421,0.1.1.0.2.2.0.3.3.0.4.4.0.5.5.0.5.5.0.4.4.0.6.6.0.7.7,5440,8396,
10040085AE0421,0.1.1.0.0.0.0.2.2.0.3.3.5.4.4.0.4.4.0.3.3.5.6.6.0.7.7,5020,7728,
300000842D8423,1.1.1.0.0.0.0.0.0.0.2.2.0.3.3.0.4.4.0.2.2.0.3.3.5.5.5,150,296,
300000B42005A3,1.1.1.0.0.0.0.0.0.0.2.2.0.2.2.0.3.3.0.4.4.0.4.4.5.5.5,131,242,
16800084018C23,0.1.1.0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.4.4.4.0.3.3.5.5.5,91,126,
10018087A00C03,0.1.1.0.0.0.0.0.0.0.1.1.3.2.2.3.2.2.4.4.4.0.0.0.5.5.5,76,104,
108400B40005A3,0.1.1.0.2.2.0.3.3.0.4.4.0.4.4.0.0.0.0.5.5.0.5.5.6.6.6,2908,4932,
108400840D8423,0.1.1.0.2.2.0.3.3.0.4.4.0.5.5.0.0.0.0.4.4.0.5.5.6.6.6,2806,4756,
108430840005A3,0.1.1.0.2.2.0.3.3.0.4.4.0.2.2.0.0.0.0.5.5.0.5.5.6.6.6,2441,3440,
10058087A00C01,0.1.1.0.0.0.0.2.2.0.1.1.4.3.3.4.3.3.5.5.5.0.0.0.0.6.6,2254,3160,
100400843D8421,0.1.1.0.0.0.0.2.2.6.3.3.0.4.4.0.5.5.6.3.3.0.4.4.0.7.7,4086,6700,
100400B42007A1,0.1.1.0.0.0.0.2.2.0.3.3.0.3.3.0.4.4.6.5.5.6.5.5.0.7.7,3966,6676,
10040085BC0421,0.1.1.0.0.0.0.2.2.5.3.3.0.4.4.0.4.4.5.3.3.0.6.6.0.7.7,3597,5454,
10040085BE0401,0.1.1.0.0.0.0.2.2.5.3.3.6.4.4.0.4.4.5.3.3.6.0.0.0.7.7,3476,5260,
100C00840D8423,0.1.1.0.0.0.2.2.2.0.3.3.0.4.4.0.0.0.0.3.3.0.4.4.5.5.5,78,152,
100C00841D8421,0.1.1.0.0.0.2.2.2.5.3.3.0.4.4.0.0.0.5.3.3.0.4.4.0.6.6,2220,3508,
10060085BC0401,3.1.1.0.0.0.0.2.2.3.4.4.0.5.5.0.5.5.3.4.4.0.0.0.0.6.6,1936,2664,
80400B40047A1,1.0.0.1.0.0.0.2.2.0.3.3.0.3.3.4.0.0.6.5.5.6.5.5.4.7.7,1850,2864,
10040085BC4401,0.1.1.0.0.0.0.2.2.5.3.3.0.4.4.6.4.4.5.3.3.0.0.0.6.7.7,1692,2496,
800184638C21,0.0.0.0.1.1.0.0.0.2.2.2.5.3.3.4.4.4.6.6.6.5.3.3.0.7.7,288,528,
10800184638421,0.1.1.0.2.2.0.0.0.3.3.3.6.4.4.5.5.5.0.7.7.6.4.4.0.8.8,396,696,
10800184638821,0.1.1.0.2.2.0.0.0.3.3.3.6.4.4.5.5.5.7.7.0.6.4.4.0.8.8,112,200,
800184618C23,0.0.0.0.1.1.0.0.0.2.2.2.0.3.3.4.4.4.5.5.5.0.3.3.6.6.6,79,151,
803184600631,0.0.0.0.1.1.0.0.0.2.2.2.0.1.1.3.3.3.5.4.4.5.6.6.5.7.7,464,824,
108C3184600021,0.1.1.0.2.2.3.3.3.4.4.4.0.2.2.5.5.5.0.0.0.0.6.6.0.7.7,208,376,
10840184618421,0.1.1.0.2.2.0.3.3.4.4.4.0.5.5.6.6.6.0.7.7.0.5.5.0.8.8,230,380,
10840184618422,0.1.1.0.2.2.0.3.3.4.4.4.0.5.5.6.6.6.0.7.7.0.5.5.8.8.0,152,248,
118400B4000463,0.1.1.2.2.2.0.3.3.0.4.4.0.4.4.0.0.0.0.5.5.6.6.6.7.7.7,260,416,
8000F4200C63,0.0.0.0.1.1.0.0.0.3.2.2.3.2.2.0.4.4.5.5.5.6.6.6.7.7.7,340,628,
318007AC000C,0.3.4.0.1.2.0.1.2.0.3.4.6.5.5.6.5.5.0.3.4.0.7.8.0.7.8,5488,9536,
840184238C21,0.0.0.0.1.1.0.2.2.3.3.3.6.4.4.0.5.5.7.7.7.6.4.4.0.8.8,5992,10128,
108400F6200421,0.1.1.0.2.2.0.3.3.5.4.4.5.4.4.5.6.6.0.7.7.0.8.8.0.9.9,4931,8654,
108400F4200461,0.1.1.0.2.2.0.3.3.5.4.4.5.4.4.0.6.6.0.7.7.8.8.8.0.9.9,5330,8748,
10803084200C63,0.1.1.0.2.2.0.0.0.0.3.3.0.2.2.0.4.4.5.5.5.6.6.6.7.7.7,333,656,
8400B4200C63,0.0.0.0.1.1.0.2.2.0.3.3.0.3.3.0.4.4.5.5.5.6.6.6.7.7.7,380,716,
108000B4200C63,0.1.1.0.2.2.0.0.0.0.3.3.0.3.3.0.4.4.5.5.5.6.6.6.7.7.7,374,708,
8F4200C63,0.0.0.0.0.0.1.0.0.3.2.2.3.2.2.1.4.4.5.5.5.6.6.6.7.7.7,62,86,
100000F4200C63,0.1.1.0.0.0.0.0.0.3.2.2.3.2.2.0.4.4.5.5.5.6.6.6.7.7.7,299,570,
10840185A00C21,0.1.1.0.2.2.0.3.3.4.4.4.0.5.5.0.5.5.6.6.6.0.7.7.0.8.8,4996,9208,
10847084000463,0.1.1.4.2.2.0.3.3.0.5.5.4.2.2.0.0.0.0.6.6.7.7.7.8.8.8,3872,6624,
108400B4200C61,0.1.1.0.2.2.0.3.3.0.4.4.0.4.4.0.5.5.6.6.6.7.7.7.0.8.8,4640,7472,
100400F4200C61,0.1.1.0.0.0.0.2.2.4.3.3.4.3.3.0.5.5.6.6.6.7.7.7.0.8.8,4132,6704,
108400B4600621,0.1.1.0.2.2.0.3.3.0.4.4.0.4.4.5.5.5.7.6.6.7.8.8.0.9.9,2040,3688,
500187A0041C,0.0.0.1.0.2.1.0.2.3.3.3.5.4.4.5.4.4.0.6.6.7.8.9.7.8.9,1783,3108,
10840084718421,0.1.1.0.2.2.0.3.3.7.4.4.0.5.5.6.6.6.7.8.8.0.5.5.0.9.9,2034,3124,
1084018403C421,0.1.1.0.2.2.0.3.3.4.4.4.6.5.5.7.0.0.0.8.8.6.5.5.7.9.9,1968,3096,
108400B4000C63,0.1.1.0.2.2.0.3.3.0.4.4.0.4.4.0.0.0.5.5.5.6.6.6.7.7.7,228,420,
10843084000C63,0.1.1.0.2.2.0.3.3.0.4.4.0.2.2.0.0.0.5.5.5.6.6.6.7.7.7,190,372,
80B246000C23,0.0.2.0.1.1.0.0.3.4.0.2.4.1.1.4.0.3.5.5.5.0.6.6.7.7.7,32,44,
100400B4200C63,0.1.1.0.0.0.0.2.2.0.3.3.0.3.3.0.4.4.5.5.5.6.6.6.7.7.7,207,394,
188400B4000463,2.1.1.2.3.3.0.4.4.0.5.5.0.5.5.0.0.0.0.6.6.7.7.7.8.8.8,1994,2888,
10840185A00C11,0.1.1.0.2.2.0.3.3.4.4.4.0.5.5.0.5.5.6.6.6.7.0.0.7.8.8,502,902,
10C40185A00C01,0.1.1.3.2.2.3.4.4.5.5.5.0.6.6.0.6.6.7.7.7.0.0.0.0.8.8,1568,2814,
10040187A00C11,0.1.1.0.0.0.0.2.2.3.3.3.5.4.4.5.4.4.6.6.6.7.0.0.7.8.8,246,422,
10044885A24401,0.1.1.3.0.0.4.2.2.0.5.5.3.6.6.4.6.6.0.7.7.3.0.0.4.8.8,1174,1992,
1084018401CC21,0.1.1.0.2.2.0.3.3.4.4.4.0.5.5.6.0.0.7.7.7.0.5.5.6.8.8,1915,2896,
108004F4000C23,0.1.1.0.2.2.0.3.0.5.4.4.5.4.4.0.3.0.6.6.6.0.7.7.8.8.8,260,356,
308000F4200C21,1.1.1.0.2.2.0.0.0.4.3.3.4.3.3.0.5.5.6.6.6.0.7.7.0.8.8,1308,2432,
10840084238C21,0.1.1.0.2.2.0.3.3.0.4.4.7.5.5.0.6.6.8.8.8.7.5.5.0.9.9,34812,55584,
10840084338421,0.1.1.0.2.2.0.3.3.7.4.4.8.5.5.0.6.6.7.9.9.8.5.5.0.10.10,21288,34240,
101F608000C03,0.2.3.1.1.4.0.5.6.0.2.3.1.1.4.0.5.6.7.7.7.0.0.0.8.8.8,108,170,
101FE08001C00,0.2.3.1.1.4.5.6.7.0.2.3.1.1.4.5.6.7.8.8.8.0.0.0.0.0.7,244,458,
101FE08005080,0.2.3.1.1.4.5.6.7.0.2.3.1.1.4.5.6.7.0.0.8.0.0.8.5.0.7,176,242,
103FE08104000,2.3.4.1.1.5.6.7.8.2.3.4.1.1.5.6.7.8.2.0.0.0.0.0.6.0.0,869,1632,
210C7108400203,1.1.0.2.2.4.3.3.3.5.5.0.2.2.4.6.6.0.7.0.0.7.0.0.8.8.8,189,260,
408F4200C23,0.0.0.0.0.0.2.1.1.4.3.3.4.3.3.2.5.5.6.6.6.0.7.7.8.8.8,144,198,
108400F4200C03,0.1.1.0.2.2.0.3.3.5.4.4.5.4.4.0.6.6.7.7.7.0.0.0.8.8.8,674,1280,
108C00B4220083,0.1.1.0.2.2.3.3.3.0.4.4.6.4.4.0.5.5.0.0.7.6.0.7.8.8.8,112,152,
308408F4200C00,1.1.1.0.2.2.4.3.3.6.5.5.6.5.5.4.7.7.8.8.8.0.0.0.0.0.0,140,192,
10840084218631,0.1.1.0.2.2.0.3.3.0.4.4.0.5.5.0.6.6.8.7.7.8.5.5.8.9.9,16330,24956,
10840084138423,0.1.1.0.2.2.0.3.3.6.4.4.7.5.5.0.0.0.6.8.8.7.5.5.9.9.9,16234,25124,
1084008431C421,0.1.1.0.2.2.0.3.3.7.4.4.0.5.5.8.6.6.7.9.9.0.5.5.8.10.10,6006,9152,
83FA04000421,2.3.4.5.1.1.6.0.7.2.3.4.5.1.1.6.0.7.0.8.8.0.9.9.0.10.10,6010,9304,
1006008431C421,3.1.1.0.0.0.0.2.2.3.4.4.0.5.5.7.6.6.3.8.8.0.5.5.7.9.9,4064,5712,
1086008411C421,4.1.1.0.2.2.0.3.3.4.5.5.0.6.6.7.0.0.4.8.8.0.6.6.7.9.9,4181,6100,
1011968080002D,0.1.1.0.0.2.0.3.2.0.1.1.0.0.2.0.3.2.0.0.0.0.4.4.0.4.4,60,98,
B400818C042D,0.0.0.0.1.1.0.1.1.0.2.2.0.3.4.0.3.4.0.2.2.0.5.5.0.5.5,66,108,
1011928080042D,0.1.1.0.0.2.0.0.2.0.1.1.0.0.2.0.0.2.0.3.3.0.4.4.0.4.4,246,393,
1005A68020042D,0.1.1.0.3.0.0.2.2.0.1.1.0.3.0.0.2.2.0.4.4.0.5.5.0.5.5,260,416,
1181808C60042D,0.1.1.2.2.2.0.0.0.0.1.1.3.3.3.4.4.4.0.5.5.0.6.6.0.6.6,68,104,
1180008C2C3461,0.1.1.2.2.2.0.0.0.0.3.3.4.4.4.0.5.5.0.3.3.6.6.6.0.5.5,88,176,
42000838C043D,0.1.0.0.1.0.0.1.0.0.2.2.3.4.5.3.4.5.0.2.2.7.6.6.7.6.6,248,360,
30138380003D,0.0.0.0.1.2.0.1.2.3.3.3.4.5.2.4.5.2.0.0.0.7.6.6.7.6.6,260,372,
108040842E3421,0.1.1.3.2.2.0.0.0.0.4.4.3.5.5.0.6.6.0.4.4.3.7.7.0.6.6,344,584,
63000818C042D,0.1.2.0.1.2.0.1.2.0.3.3.0.4.5.0.4.5.0.3.3.0.6.6.0.6.6,84,115,
108180806005A3,0.1.1.0.2.2.0.0.0.0.1.1.0.0.0.3.3.3.0.4.4.0.4.4.5.5.5,120,174,
30138180023D,0.0.0.0.1.2.0.1.2.3.3.3.0.4.2.0.4.2.5.0.0.5.6.6.5.6.6,76,103,
21040842E3421,0.0.1.2.0.1.0.0.1.0.3.3.2.4.4.0.5.5.0.3.3.2.6.6.0.5.5,120,211,
18000802C3631,0.0.0.1.1.1.0.0.0.0.2.2.0.0.0.0.3.3.4.2.2.4.5.5.4.3.3,168,334,
43000818C043D,0.1.0.0.1.2.0.1.2.0.3.3.0.4.5.0.4.5.0.3.3.7.6.6.7.6.6,471,672,
108400806C042D,0.1.1.0.2.2.0.3.3.0.4.4.0.0.0.5.5.5.0.4.4.0.6.6.0.6.6,1154,1708,
50138380003D,0.0.0.1.0.2.1.0.2.3.3.3.4.5.2.4.5.2.0.0.0.7.6.6.7.6.6,455,640,
100440842E3421,0.1.1.3.0.0.0.2.2.0.4.4.3.5.5.0.6.6.0.4.4.3.7.7.0.6.6,686,1196,
108400802C3461,0.1.1.0.2.2.0.3.3.0.4.4.0.0.0.0.5.5.0.4.4.6.6.6.0.5.5,1430,2544,
50138180023D,0.0.0.1.0.2.1.0.2.3.3.3.0.4.2.0.4.2.5.0.0.5.6.6.5.6.6,80,108,
