Hexa,Cube,N,E,Name
800186200020,0.0.0.0.1.1.0.0.0.2.2.2.4.3.3.4.5.5.0.0.0.0.6.6.0.0.0,118,238,
18280000C,0.0.0.0.0.0.0.0.0.1.1.1.2.0.3.2.0.3.0.0.0.0.4.5.0.4.5,756,1538,
180408042,0.0.0.0.0.0.0.0.0.1.1.1.0.0.3.2.2.0.0.0.0.4.4.3.5.5.0,776,1616,
800180200021,0.0.0.0.1.1.0.0.0.2.2.2.0.0.0.0.3.3.0.0.0.0.4.4.0.5.5,1136,2564,
110000C60,0.0.0.0.0.0.0.0.0.1.1.2.0.0.2.0.0.0.3.3.3.4.4.4.0.0.0,148,304,
800380001020,0.0.0.0.1.1.0.0.2.3.3.3.0.0.0.0.0.2.0.0.0.0.4.4.0.0.2,180,400,
580000C08,0.0.0.0.0.0.0.1.0.2.2.2.0.0.0.0.1.0.3.3.3.0.4.0.0.4.0,180,402,
18080001C,0.0.0.0.0.0.0.0.0.1.1.1.0.0.2.0.0.2.0.0.0.3.4.5.3.4.5,1838,3868,
80200461,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.4.4.4.0.5.5,2394,5314,
1800000008842,0.0.0.1.1.1.0.0.0.0.0.0.0.0.2.0.0.0.3.3.0.4.4.2.5.5.0,2439,5384,
180000C21,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.0.0.0.2.2.2.0.3.3.0.4.4,752,1646,
180200C01,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.0.2.2.3.3.3.0.0.0.0.4.4,832,1864,
10000080000461,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.0.0.0.3.3.4.4.4.0.5.5,3172,6908,
40180200401,0.0.0.0.0.0.0.1.1.2.2.2.0.0.0.0.3.3.0.4.4.0.0.0.0.5.5,3904,8504,
C63,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.1.2.2.2.3.3.3,50,124,
2100000000461,0.0.1.0.0.1.0.0.1.0.0.0.0.0.0.0.0.0.0.2.2.3.3.3.0.4.4,1588,3440,
10040010800401,0.1.1.0.0.0.0.2.2.0.0.3.0.0.3.0.0.3.0.4.4.0.0.0.0.5.5,3396,7184,
800084220420,0.0.0.0.1.1.0.0.0.0.2.2.5.3.3.0.4.4.0.6.6.5.7.7.0.0.0,5024,10568,
10002800C08,0.1.0.0.0.0.0.0.0.0.1.0.2.0.3.2.0.3.4.4.4.0.5.0.0.5.0,1190,2464,
800080200C20,0.0.0.0.1.1.0.0.0.0.2.2.0.0.0.0.3.3.4.4.4.0.5.5.0.0.0,1376,2984,
1080200421,0.0.0.0.0.1.0.0.0.0.2.2.0.0.1.0.3.3.0.4.4.0.5.5.0.6.6,15496,33144,Block Built
10800080200021,0.1.1.0.2.2.0.0.0.0.3.3.0.0.0.0.4.4.0.0.0.0.5.5.0.6.6,18104,40308,
80800423,0.0.0.0.0.0.0.0.0.0.1.1.0.0.2.0.0.2.0.3.3.0.4.4.5.5.5,5730,11880,
80200C21,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.3.3.3.0.4.4.0.5.5,6056,12952,
20001300000018,1.1.0.0.0.2.0.0.3.4.4.0.0.0.2.0.0.3.0.0.0.5.6.0.5.6.0,23620,50610,
10000080200421,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.3.3.0.4.4.0.5.5.0.6.6,26464,57484,
30000400000103,1.1.1.0.0.0.0.2.0.0.0.0.0.0.0.0.2.0.0.3.0.0.3.0.4.4.4,419,890,
28C03,0.0.0.0.0.0.0.0.0.0.0.0.1.0.2.0.0.0.3.3.3.1.0.2.4.4.4,392,876,
10000080000C21,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.0.0.3.3.3.0.4.4.0.5.5,12102,25168,Double IT
2800C14,0.0.0.0.0.0.0.0.0.0.0.0.1.0.2.1.0.2.3.3.3.4.0.5.4.0.5,12480,26224,
3800000001C,1.2.3.0.0.0.0.0.0.1.2.3.0.0.0.0.0.0.0.0.0.4.5.6.4.5.6,24650,52104,Spiral
10040080200401,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.4.4.0.5.5.0.0.0.0.6.6,27152,57412,Ili
10000080000C03,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.0.0.3.3.3.0.0.0.4.4.4,1464,3088,
10040080000403,0.1.1.0.0.0.0.2.2.0.3.3.0.0.0.0.0.0.0.4.4.0.0.0.5.5.5,13976,28016,Christian
29A00000400,1.0.2.0.0.3.4.0.5.1.0.2.0.0.3.4.0.5.0.6.6.0.0.0.0.0.0,16680,33656,Morse
30000000040203,1.1.1.0.0.0.0.0.0.0.0.2.0.0.0.0.0.0.3.0.2.3.0.0.4.4.4,168,320,
30000200000083,1.1.1.0.0.0.0.0.2.0.0.0.0.0.0.0.0.2.0.0.3.0.0.3.4.4.4,84,160,
30040000000803,1.1.1.0.0.0.0.2.2.0.0.0.0.0.0.0.0.0.3.3.0.0.0.0.4.4.4,348,816,
28000000C14,1.0.2.0.0.0.0.0.0.1.0.2.0.0.0.0.0.0.3.3.3.4.0.5.4.0.5,9528,18024,
128000000806,2.0.3.0.0.1.0.0.1.2.0.3.0.0.0.0.0.0.4.4.0.0.0.5.6.6.5,6904,12936,
B5A00000,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.1.1.0.0.0.0.0.0.0.0.0,1,3,C-Block
5AD,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.1.1,4,12,Plate
184218020,0.0.0.0.0.0.0.0.0.1.1.1.0.2.2.0.3.3.0.0.0.0.2.2.0.0.0,8,22,
B4600020,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.2.2.2.0.0.0.0.3.3.0.0.0,7,16,
F4600000,0.0.0.0.0.0.0.0.0.2.1.1.2.1.1.3.3.3.0.0.0.0.0.0.0.0.0,7,14,
B4200060,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.2.2.0.0.0.3.3.3.0.0.0,7,17,
B4000460,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.0.0.0.2.2.3.3.3.0.0.0,34,88,
B4600400,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.2.2.2.0.3.3.0.0.0.0.0.0,34,76,
800084218020,0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.0.4.4.0.0.0.0.3.3.0.0.0,56,145,
F4200020,0.0.0.0.0.0.0.0.0.2.1.1.2.1.1.0.3.3.0.0.0.0.4.4.0.0.0,50,120,
84218420,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.3.3.0.4.4.0.2.2.0.0.0,272,728,
B4200420,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.2.2.0.3.3.0.4.4.0.0.0,257,639,
87B00000,0.0.0.0.0.0.0.0.0.4.1.1.3.2.2.3.2.2.4.0.0.0.0.0.0.0.0,250,580,
84018C20,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.0.0.3.3.3.0.2.2.0.0.0,38,94,
200B4300000,1.0.0.0.0.0.0.0.0.1.2.2.0.2.2.0.3.3.1.0.0.0.0.0.0.0.0,38,86,
84018421,0.0.0.0.0.0.0.0.0.0.1.1.0.2.2.0.0.0.0.3.3.0.2.2.0.4.4,618,1566,
800004018421,0.0.0.0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.3.3.0.2.2.0.4.4,614,1466,
4018C21,0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.2.2.2.0.1.1.0.3.3,180,416,
B4004201,0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.2.0.0.3.0.0.3.0.0.2.4.4,966,2308,
18080002D,0.0.0.0.0.0.0.0.0.1.1.1.0.0.2.0.0.2.0.0.0.0.3.3.0.3.3,15,31,
18020002D,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.0.2.2.0.0.0.0.3.3.0.3.3,20,46,
806C0420,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.2.2.2.0.1.1.0.3.3.0.0.0,24,60,
802C0460,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.1.1.3.3.3.0.0.0,22,54,
18000042D,0.0.0.0.0.0.0.0.0.1.1.1.0.0.0.0.0.0.0.2.2.0.3.3.0.3.3,90,210,
806C0401,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.2.2.2.0.1.1.0.0.0.0.3.3,120,296,
8280002D,0.0.0.0.0.0.0.0.0.0.1.1.2.0.3.2.0.3.0.0.0.0.4.4.0.4.4,124,278,
80008080002D,0.0.0.0.1.1.0.0.0.0.2.2.0.0.3.0.0.3.0.0.0.0.4.4.0.4.4,134,316,
8000802005A0,0.0.0.0.1.1.0.0.0.0.2.2.0.0.0.0.3.3.0.4.4.0.4.4.0.0.0,160,392,
111200800408,0.2.0.0.0.1.0.0.1.0.2.0.0.0.1.0.0.1.0.3.3.0.4.0.0.4.0,654,1496,
8020042D,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.3.3.0.4.4.0.4.4,728,1708,
802C0421,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.1.1.0.3.3.0.4.4,780,1894,
800005A3,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0.2.2.0.2.2.3.3.3,114,256,
802C0403,0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0.2.2.0.1.1.0.0.0.3.3.3,120,288,
1000008000042D,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.0.0.0.3.3.0.4.4.0.4.4,1620,3762,
100000802C0401,0.1.1.0.0.0.0.0.0.0.2.2.0.0.0.0.3.3.0.2.2.0.0.0.0.4.4,1832,4352,
2020010002D,1.0.0.0.0.0.0.0.2.1.0.0.0.0.0.0.0.2.1.0.0.0.3.3.0.3.3,484,1072,2-3-4
109200800404,0.0.2.0.0.1.0.0.1.0.0.2.0.0.1.0.0.1.0.3.3.0.0.4.0.0.4,2244,5056,3 Plus
